Id;lloc_de_gravacio;Nom_fitxer;YouTube_logotips;Incrustació_logotips;adreca_html;grup_edat;data_enregistrament;codi_informant;Activitat;Etiquetes;Gènere discursiu;;;;;;;;;;;;;;;
40;2;CORPUS 00003 BQ G 141115;https://youtu.be/lVo0LmgGuXQ;"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/lVo0LmgGuXQ"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/M1dw6nyXgYw;31-50 anys;15/11/2014;BQ;3;LSC, CORPUS, llengua de signes catalana;Narració;;;;;;;;;;;;;;;
41;2;CORPUS 00003 BN G 141115;https://youtu.be/dVt_dlI_mWc;"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/dVt_dlI_mWc"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/OeMJ0fa8XaA;51-80 anys;15/11/2014;BN;3;LSC, CORPUS, llengua de signes catalana;Narració;;;;;;;;;;;;;;;
42;2;CORPUS 00003 CS G 141115;https://youtu.be/4euTJ9drla0;"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/4euTJ9drla0"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/BCJk26teQSo;51-80 anys;15/11/2014;CS;3;LSC, CORPUS, llengua de signes catalana;Narració;;;;;;;;;;;;;;;
43;1;CORPUS 00007 DU G 311013;https://youtu.be/-W_r1yOTI4s;"<iframe width=""642"" height=""361"" src=""https://www.youtube.com/embed/-W_r1yOTI4s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/ZY_-yq4ODfI;31-50 anys;31/8/2013;DU;8;LSC, CORPUS, llengua de signes catalana;Explicació;;;;;;;;;;;;;;;
44;1;CORPUES 00007 KW G 131031;https://youtu.be/C3wE6uxA8Pg;"<iframe width=""642"" height=""361"" src=""https://www.youtube.com/embed/C3wE6uxA8Pg"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/QnmPUG78ZWs;31-50 anys;31/8/2013;KW;8;LSC, CORPUS, llengua de signes catalana;Explicació;;;;;;;;;;;;;;;
45;1;CORPUS 00007 DT G 130830;https://youtu.be/5r-guxaUugs;"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/5r-guxaUugs"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/2jk0rgT2VZ8;51-80 anys;30/8/2013;DT;8;LSC, CORPUS, llengua de signes catalana;Explicació;;;;;;;;;;;;;;;
46;2;CORPUS 00007 NC G 150626;https://youtu.be/t8c6PwlQ10w;"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/t8c6PwlQ10w"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/IGnsT9sYDcY;18-30 anys;26/6/2015;NC;8;LSC, CORPUS, llengua de signes catalana;Explicació;;;;;;;;;;;;;;;
47;2;CORPUS 00007 KS G 150626;https://youtu.be/1fz0QsRktP4;"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/1fz0QsRktP4"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/MDMW-Z-R0Bw;18-30 anys;26/6/2015;KS;8;LSC, CORPUS, llengua de signes catalana;Explicació;;;;;;;;;;;;;;;
48;2;CORPUS 00007 FN G 141115;https://youtu.be/xn4jebrtFUM;"<iframe width=""1366"" height=""768"" src=""https://www.youtube.com/embed/xn4jebrtFUM"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/hXuDWbgNSaI;31-50 anys;15/11/2014;FN;8;LSC, CORPUS, llengua de signes catalana;Explicació;;;;;;;;;;;;;;;
49;2;CORPUS 00007 BQ G 141115;https://youtu.be/daFbSWebL7c;"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/daFbSWebL7c"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/MU1tJ1FByh0;31-50 anys;15/11/2014;BQ;8;LSC, CORPUS, llengua de signes catalana;Explicació;;;;;;;;;;;;;;;
